zcta10,stateco,alloc,puma10,boro,CD,pumaname,sub_boro,per_in_puma,per_of_puma
10451,36005,x,3710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,0.48200000000000004,0.141
10452,36005,x,3708,Bronx,4,"Concourse, Highbridge & Mount Eden",Highbridge/South Concourse,0.9520000000000001,0.515
10453,36005,x,3707,Bronx,5,"Morris Heights, Fordham South & Mount Hope",University Heights/Fordham,0.9840000000000001,0.574
10454,36005,x,3710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,1.0,0.239
10455,36005,x,3710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,1.0,0.254
10456,36005,x,3705,Bronx,3 & 6,"Belmont, Crotona Park East & East Tremont",Morrisania/Belmont,0.491,0.264
10457,36005,x,3707,Bronx,5,"Morris Heights, Fordham South & Mount Hope",University Heights/Fordham,0.483,0.254
10458,36005,x,3706,Bronx,7,"Bedford Park, Fordham North & Norwood",Kingsbridge Heights/Mosholu,0.596,0.37200000000000005
10459,36005,x,3710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,0.631,0.191
10460,36005,x,3705,Bronx,3 & 6,"Belmont, Crotona Park East & East Tremont",Morrisania/Belmont,0.75,0.266
10461,36005,x,3703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.483,0.212
10462,36005,x,3709,Bronx,9,"Castle Hill, Clason Point & Parkchester",Soundview/Parkchester,0.5479999999999999,0.22899999999999998
10463,36005,x,3701,Bronx,8,"Riverdale, Fieldston & Kingsbridge",Riverdale/Kingsbridge,0.838,0.527
10464,36005,x,3703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.971,0.038
10465,36005,x,3703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.995,0.365
10466,36005,x,3702,Bronx,12,"Wakefield, Williamsbridge & Woodlawn",Williamsbridge/Baychester,1.0,0.49
10467,36005,x,3706,Bronx,7,"Bedford Park, Fordham North & Norwood",Kingsbridge Heights/Mosholu,0.41200000000000003,0.314
10468,36005,x,3706,Bronx,7,"Bedford Park, Fordham North & Norwood",Kingsbridge Heights/Mosholu,0.47600000000000003,0.284
10469,36005,x,3704,Bronx,11,"Pelham Parkway, Morris Park & Laconia",Pelham Parkway,0.483,0.26
10470,36005,x,3702,Bronx,12,"Wakefield, Williamsbridge & Woodlawn",Williamsbridge/Baychester,1.0,0.111
10471,36005,x,3701,Bronx,8,"Riverdale, Fieldston & Kingsbridge",Riverdale/Kingsbridge,1.0,0.212
10472,36005,x,3709,Bronx,9,"Castle Hill, Clason Point & Parkchester",Soundview/Parkchester,1.0,0.366
10473,36005,x,3709,Bronx,9,"Castle Hill, Clason Point & Parkchester",Soundview/Parkchester,1.0,0.32299999999999995
10474,36005,x,3710,Bronx,1 & 2,"Hunts Point, Longwood & Melrose",Mott Haven/Hunts Point,1.0,0.079
10475,36005,x,3703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",Throgs Neck/Co-op City,0.982,0.349
11201,36047,x,4004,Brooklyn,2,Brooklyn Heights & Fort Greene,Brooklyn Heights/Fort Greene,0.894,0.386
11203,36047,x,4010,Brooklyn,17,"East Flatbush, Farragut & Rugby",East Flatbush,0.795,0.446
11204,36047,x,4017,Brooklyn,11,Bensonhurst & Bath Beach,Bensonhurst,0.635,0.273
11205,36047,x,4004,Brooklyn,2,Brooklyn Heights & Fort Greene,Brooklyn Heights/Fort Greene,0.7,0.23800000000000002
11206,36047,x,4003,Brooklyn,3,Bedford-Stuyvesant,Bedford Stuyvesant,0.46399999999999997,0.282
11207,36047,x,4008,Brooklyn,5,East New York & Starrett City,East New York/Starrett City,0.491,0.297
11208,36047,x,4008,Brooklyn,5,East New York & Starrett City,East New York/Starrett City,1.0,0.611
11209,36047,x,4013,Brooklyn,10,Bay Ridge & Dyker Heights,Bay Ridge,1.0,0.565
11210,36047,x,4015,Brooklyn,14,Flatbush & Midwood,Flatbush,0.48100000000000004,0.188
11211,36047,x,4001,Brooklyn,1,Greenpoint & Williamsburg,Williamsburg/Greenpoint,1.0,0.611
11212,36047,x,4007,Brooklyn,16,Brownsville & Ocean Hill,Brownsville/Ocean Hill,0.693,0.49
11213,36047,x,4006,Brooklyn,8,Crown Heights North & Prospect Heights,North Crown Heights/Prospect Heights,0.7709999999999999,0.4
11214,36047,x,4017,Brooklyn,11,Bensonhurst & Bath Beach,Bensonhurst,0.904,0.441
11215,36047,x,4005,Brooklyn,6,"Park Slope, Carroll Gardens & Red Hook",Park Slope/Carroll Gardens,0.843,0.505
11216,36047,x,4003,Brooklyn,3,Bedford-Stuyvesant,Bedford Stuyvesant,0.509,0.20600000000000002
11217,36047,x,4004,Brooklyn,2,Brooklyn Heights & Fort Greene,Brooklyn Heights/Fort Greene,0.557,0.168
11218,36047,x,4014,Brooklyn,12,"Borough Park, Kensington & Ocean Parkway",Borough Park,0.6759999999999999,0.311
11219,36047,x,4014,Brooklyn,12,"Borough Park, Kensington & Ocean Parkway",Borough Park,0.6890000000000001,0.389
11220,36047,x,4012,Brooklyn,7,Sunset Park & Windsor Terrace,Sunset Park,0.865,0.585
11221,36047,x,4003,Brooklyn,3,Bedford-Stuyvesant,Bedford Stuyvesant,0.51,0.3
11222,36047,x,4001,Brooklyn,1,Greenpoint & Williamsburg,Williamsburg/Greenpoint,1.0,0.25
11223,36047,x,4017,Brooklyn,11,Bensonhurst & Bath Beach,Bensonhurst,0.391,0.17
11224,36047,x,4018,Brooklyn,13,Brighton Beach & Coney Island,Coney Island,1.0,0.415
11225,36047,x,4011,Brooklyn,9,"Crown Heights South, Prospect Lefferts & Wingate",South Crown Heights,1.0,0.53
11226,36047,x,4015,Brooklyn,14,Flatbush & Midwood,Flatbush,0.521,0.33399999999999996
11228,36047,x,4013,Brooklyn,10,Bay Ridge & Dyker Heights,Bay Ridge,0.604,0.207
11229,36047,x,4016,Brooklyn,15,"Sheepshead Bay, Gerritsen Beach & Homecrest",Sheepshead Bay/Gravesend,0.981,0.531
11230,36047,x,4015,Brooklyn,14,Flatbush & Midwood,Flatbush,0.7559999999999999,0.41200000000000003
11231,36047,x,4005,Brooklyn,6,"Park Slope, Carroll Gardens & Red Hook",Park Slope/Carroll Gardens,0.98,0.308
11232,36047,x,4012,Brooklyn,7,Sunset Park & Windsor Terrace,Sunset Park,0.965,0.185
11233,36047,x,4007,Brooklyn,16,Brownsville & Ocean Hill,Brownsville/Ocean Hill,0.466,0.262
11234,36047,x,4009,Brooklyn,18,Canarsie & Flatlands,Flatlands/Canarsie,1.0,0.45299999999999996
11235,36047,x,4016,Brooklyn,15,"Sheepshead Bay, Gerritsen Beach & Homecrest",Sheepshead Bay/Gravesend,0.513,0.275
11236,36047,x,4009,Brooklyn,18,Canarsie & Flatlands,Flatlands/Canarsie,0.884,0.428
11237,36047,x,4002,Brooklyn,4,Bushwick,Bushwick,1.0,0.386
11238,36047,x,4006,Brooklyn,8,Crown Heights North & Prospect Heights,North Crown Heights/Prospect Heights,0.539,0.21600000000000003
11239,36047,x,4008,Brooklyn,5,East New York & Starrett City,East New York/Starrett City,1.0,0.087
11425,36047,x,4013,Brooklyn,10,Bay Ridge & Dyker Heights,Bay Ridge,,0.0
10001,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.146
